,G1,G2,G3,SP2_1,SP2_2,SP2_3,R1,R2,R3,SP1_1,SP1_2,SP1_3,NC,Time
38,25137.19111667188,25008.413075589233,25262.531578247574,18793.461716630267,18771.967619793704,18704.400052226138,3645.5050670153646,3760.146934842828,3553.2798876470247,13115.392228013457,13239.130434782608,13698.43426501035,130.43478260869563,390
39,25467.05580014742,25292.67212435529,25506.10024646605,18945.992104540943,18837.47211245425,18699.033231747326,3771.658415841584,3867.2095857103304,3558.527055117875,13190.823667380535,13401.96970583547,13894.690219804044,130.1272984441301,400
40,25842.82873592453,25736.432984365998,25976.58920553581,18834.277689484315,19069.439101879158,18848.794258025144,3896.1545320428636,3885.671833366127,3554.753992207241,13337.837370277426,13490.165085711938,14019.840552280608,132.58110014104372,410
41,26232.21689346382,26119.602531781366,26272.588308200782,19141.30539267519,19184.645045789435,19007.53758551473,3900.8008337447204,3871.8096286657988,3552.151064398325,13512.8028823675,13731.38273146242,14333.178793498419,135.92233009708738,420
42,26775.859867965133,26518.119474510455,26747.451207203532,19516.844558949822,19552.24519183649,19608.768128338183,3909.916193197927,3876.485429588135,3583.8028306387114,13879.212515393943,14024.679970468727,14531.299388832424,136.30229419703105,430
43,27339.60208875992,27067.12900822935,27107.439165361935,19828.636349522083,19838.178165014277,19770.531245695394,3965.5955720620314,3864.0032120023175,3624.815806925833,14107.377429345144,13967.281464963271,14452.219385142154,139.81358189081226,440
44,27851.309085060584,27630.534858580024,27923.923237036528,20001.205819280283,20078.776473601545,20052.53933251422,4010.2207114918983,3854.109740725755,3614.9941514195793,14048.424106176775,13877.511143572905,14415.45522228941,139.50456323337679,450
45,27962.715678919732,28470.967741935485,28481.252921926134,19862.09677419355,19972.04009279118,19764.947107222153,4031.799126252151,3849.0786367965547,3639.673711531331,13942.970176506391,13789.500479906523,14436.10684417136,141.93548387096774,460
46,28360.11757577742,28520.032120737334,29026.09776860224,19956.384157044595,19859.234048464536,19513.02462057451,4048.707925172106,3851.227302280999,3651.0017265210354,13801.378628301403,13946.272639068564,14535.546511747609,147.47736093143595,470
47,28260.34729117725,28213.759594969786,29026.137455813117,19878.536122789792,19714.245890283666,19459.00777186934,4032.1229411409813,3832.750914933869,3650.7324038569527,13780.922539552086,13784.005115215306,14356.771158569585,146.4968152866242,480
48,28245.723031303056,28127.973400632934,28914.924552215605,19733.82661240597,19549.626108057248,19335.906232132646,4042.767295597484,3808.809913186393,3640.6049042470495,13708.754716981131,13657.137605587654,14183.103594355916,145.91194968553458,490
49,28185.9640471812,27976.944863840243,28981.676531418274,19557.331214172533,19427.823490260027,19153.30879048927,4031.33524083614,3808.0060134854652,3639.915990376855,13729.545082434894,13449.27747362485,14046.392927928719,146.9489414694894,500
50,28137.600672489138,27951.924179191414,28897.24572214589,19433.2197937364,19442.899777834988,19275.333036106713,4033.591947104557,3833.1967530201614,3624.008017857956,13600.840857687737,13371.069009197554,13887.87737244461,148.83148831488313,510
51,28061.015194421605,27877.638706123573,28826.392428103383,19347.508223173834,19384.67792370231,19101.961149382485,4021.423250089075,3790.0320842288884,3634.0565614245097,13551.518427830953,13349.398534776446,13906.642123025002,151.21951219512195,520
