,G1,G2,G3,SP2_1,SP2_2,SP2_3,R1,R2,R3,SP1_1,SP1_2,SP1_3,NC,Time
65,33220.61574767117,30949.820477308942,32091.891075442327,22207.72664935368,21422.768129021846,21180.461212304763,7143.3259337901745,6410.101711204249,6802.504791742039,16539.43441246746,15675.486926831365,15846.463951007616,164.36637390213298,660
66,33221.15931922553,30750.885835277848,32049.42962388177,21987.86592770586,21343.495525776023,21256.940060073848,7173.893772141668,6405.6712854455345,6800.373025587225,16458.820480520673,15672.458585488112,15816.733450392449,162.90726817042605,670
67,33165.318499804234,30637.631491060976,31985.616320831192,21872.46846448358,21282.273464789225,21038.272273870858,7105.034077053488,6384.268112064887,6764.360483461607,16411.735330836455,15610.385256582373,15739.685476686363,166.04244694132333,680
68,32998.673708816525,30564.348225048518,31498.286202683335,21833.092335965193,21070.20925863273,20916.64958935637,7047.825183376052,6315.806751908068,6727.44522742026,16262.75652501038,15404.589026019257,15508.955431384093,165.6288916562889,690
69,32950.1481465224,30455.68649139227,31439.422725611985,21616.703637976927,20990.58425257843,20774.346418010857,7103.5662124640885,6274.970705593126,6673.540372670807,16165.139852514762,15363.16552381954,15451.29185196075,166.45962732919253,700
70,32683.31119887231,30475.076008435037,31522.873582946195,21530.53242810898,20956.607092376795,20648.092567973574,7030.797014667982,6262.457246328214,6668.189065103511,15997.123259491636,15207.133247630722,15410.213493141066,169.97518610421835,710
71,32883.07571903737,30568.64678957085,31372.50431388899,21444.07949429831,20897.098721434297,20632.451034673144,7009.593937660852,6219.509827564503,6625.769999865795,16083.306917187783,15329.145219712134,15427.372418482812,166.04708798017347,720
72,32856.39972917297,30484.503659013462,31356.302038472582,21535.835162611118,20877.537918871254,20693.73172008251,7005.091604622121,6218.63896416742,6593.383071320722,16096.436298841796,15221.680433431035,15328.979857050033,171.60493827160494,730
73,32894.74521836378,30793.409190225815,31496.6742098924,21495.738557150733,20913.939883050476,20666.93658710148,6987.060107430871,6222.734241166923,6647.910902129217,16089.636711159854,15246.69014904089,15348.285089345509,173.85943279901358,740
74,32921.51761811529,30666.28951728586,31386.68810436052,21497.990666320973,20871.99955217197,20570.154367653515,6971.492893225816,6237.302582474997,6641.690201213032,15988.868950379392,15280.545981904334,15248.585175850614,171.18226600985224,750
75,33084.67011753451,30715.08177919617,31561.828381289593,21419.80981762258,20943.480865001617,20558.33588002135,6948.395676850169,6189.656323583743,6611.34828946387,15875.099555593257,15189.231761520945,15279.638949344304,173.4317343173432,760
76,32815.5480478358,30570.917488109186,31483.750812812756,21336.335715325167,20679.86298800103,20366.398198797182,6944.824154206225,6153.130606188125,6573.481522402814,15880.450158258762,15122.059721454947,15170.022244577,171.7791411042945,770
77,32733.630786391524,30685.21403460398,31394.16013046517,21262.896041684173,20688.793270965773,20194.773579637636,6875.108777427035,6091.04647994167,6536.965912803573,15697.313414196286,14937.881081550908,15000.807158406604,175.46012269938652,780
78,32554.034128002528,30493.604944777468,30950.99723738293,21115.38789428815,20436.783517018546,19939.95098039216,6798.166555398956,6035.6170012915345,6474.240109266847,15649.497362396734,14851.988498579643,14878.948020080594,171.56862745098042,790
79,32608.303482195995,30457.478306653997,31071.044649034113,20927.80429503776,20312.679876939364,19946.144430844557,6746.848302291666,6031.935017247135,6408.546331629347,15524.545735193053,14777.95809633523,14814.738636730082,173.80660954712363,800
80,32552.040516940277,30636.567302654556,30973.585200567148,20835.07212562825,20295.96989093706,19854.48740338716,6736.210943005435,5968.040516940273,6408.516707416464,15401.668835524342,14693.882084516894,14690.480177736097,174.81662591687044,810
81,32486.66157104014,30334.198095890748,31020.990386178106,20785.951409872498,20312.965061843985,19738.91394841456,6755.339779119504,5963.295919300676,6407.313997477932,15365.1594307332,14587.918514234303,14639.665573606348,175.82417582417582,820
82,32559.234440467273,30642.970509237908,30958.244511503006,20639.89889898899,20375.74343864244,19717.45991761254,6695.829907737279,5968.732861884832,6368.094885732988,15321.283939254487,14652.809004752826,14689.079822616408,176.82926829268294,830
83,32548.090769154376,30632.701972126135,30922.12871955538,20800.25944989449,20228.73490180744,19626.025215660255,6689.105331891053,5951.260547704095,6307.283956918994,15192.94770690435,14624.532288719129,14629.503356890948,176.39902676399026,840
84,32601.84431750081,30706.105879012717,31249.548640429464,20706.339020004732,20248.90062160546,19640.21841853476,6682.281910598251,5966.224290745886,6353.271154652182,15309.531811483674,14628.532478693995,14521.527575419363,179.82989064398544,850
85,32744.15852200091,30693.59636572334,30982.391678063195,20586.460954556544,20218.51207603813,19660.71308028023,6651.448547834188,5945.79361671676,6333.219150081903,15215.738538505699,14488.108343071339,14520.766395896151,181.26520681265208,860
86,32624.789059589293,30838.73840047203,31098.191638240183,20649.68032204594,20225.07893063802,19536.35227179793,6622.703325452735,5874.150627710309,6286.054211796397,15078.29861321017,14415.07101761956,14498.73578441567,184.46601941747574,870
87,32386.14854961312,30884.373011886826,30965.45113678972,20524.28677014043,20181.71470805617,19445.575466200466,6570.36057243209,5847.450353476145,6248.3422459893045,15078.163726820441,14308.886556092099,14388.879809329246,183.03030303030303,880
88,32483.70045977263,30730.54501811012,30981.826115413984,20428.672666713912,20032.588244148417,19302.344532141276,6489.179300779569,5819.038653479721,6218.759787034137,14867.643161723963,14222.216008232293,14352.009850391729,184.46601941747574,890
89,32145.99326599327,30398.864138069435,30686.958473625145,20078.20317390184,19819.39393939394,18996.639448375976,6462.690372358269,5762.217743361267,6128.945147679325,14727.8097809781,14146.20636747219,14141.142818317707,180.60606060606062,900
90,32126.442161173756,30447.73123815845,30608.504941442814,20161.407766990294,19742.95472119598,19011.775909323176,6407.398153436132,5701.507230633444,6095.93369968678,14633.738164100474,13924.746147679702,14081.306602594073,179.6116504854369,910
