,G1,SP2_1,SP2_2,SP2_3,SP2_4,SP2_5,SP2_6,R1,SP1_1,SP1_2,SP1_3,SP1_4,SP1_5,SP1_6,NC,Time
58,30805.368313032614,23534.033953360566,20471.59222195102,20707.094642370557,19398.840192975233,20011.144042679312,20200.01217019191,4685.644810728467,14121.469102935975,14771.072164871586,14700.10479342435,13496.869900458634,13273.896815021126,14465.750599016894,150.76071922544952,590
59,30669.11261594893,23425.684190070173,20425.095521931835,20605.682056421712,19287.362993022834,19839.063027172924,20003.78833238935,4681.223815173531,14071.361460001051,14724.158440271862,14596.321728217803,13474.129338356957,13145.954671043772,14375.719329358813,152.68225584594222,600
60,30701.62731650579,23737.818640673155,20400.675693201567,20605.736268890407,19569.797211019384,20245.25310196601,20278.66598979417,4737.636358975016,13973.560935533227,14671.08186571475,14543.493593511226,13467.123039077307,13203.293561675919,14452.785878628896,153.31491712707182,610
61,30561.210002119093,23601.82441914861,20374.65726216659,20558.908680252553,19181.19577323737,19894.557022832665,20026.017390623165,4697.337852763073,13894.987054979592,14560.628187681856,14459.325233501257,13367.589365727372,13153.077587270258,14345.125932072011,152.89256198347107,620
62,30286.893063634114,23415.417236662106,20215.31221915919,20284.531627806016,19106.729453856675,19775.923714871766,19946.952065469664,4679.518619150586,13751.667236662106,14387.36131122935,14334.835226080095,13253.850971601865,12950.226114590589,14186.624585743471,154.5827633378933,630
63,30215.24502413588,23487.225624002476,20264.640244789065,20210.000301637894,19012.479441294156,19580.42588016609,19859.99878042127,4659.331957425848,13583.522913724637,14345.34890015699,14238.626042440756,13052.571953160861,12870.516906803943,14033.981687665851,155.31335149863762,640
64,30029.942857531347,23193.488529014845,19847.09264800798,19961.592639656414,18557.042466228333,19164.712258649633,19437.439531376906,4514.826689853182,13427.576862230117,14132.78318242512,14109.471854342504,12870.656257383946,12690.864924549134,13870.67753970457,155.19568151147098,650
65,29976.874922952997,23074.812996830253,19688.19435947632,19840.244216399064,18378.37782059352,19182.17892995172,19366.212947417593,4543.317518440265,13372.0263117064,14152.17657291506,14010.10994389191,12866.150503566701,12612.829246250201,13804.030419303386,156.12382234185733,660
66,30119.815292679614,23211.69180229954,19821.86337713861,20030.636103904635,18613.387806411065,19274.68291002474,19659.89943431804,4613.177584364025,13391.768048371823,14155.972331170222,14140.600443990275,12949.719530851607,12753.600866966604,13933.80124310357,154.05405405405406,670
67,29995.71509418708,23227.857951329937,19830.418595537267,19888.66433475839,18589.680735161764,19356.196748148974,19474.571009958032,4605.93703730673,13337.383608636743,14105.24087714842,14033.942978592502,12943.142625278962,12723.313074645474,13855.654144898692,155.91397849462365,680
68,30150.59716223735,23149.030020560447,19585.575543868035,19671.898859818793,18310.944508338125,18976.218595985094,19230.203790270116,4493.0204456615875,13195.00897120737,14070.812910771974,13982.038459432077,12695.441955093638,12524.276127710174,13692.009126255536,158.24468085106383,690
69,30155.218544573865,22967.309909894444,19544.302725887468,19540.15366322144,18247.987768142924,18860.23375705792,19271.880281732498,4493.440192825648,13103.102218630878,14078.46749451143,13930.636604774534,12644.007826908644,12469.834640781082,13637.371020800987,157.82493368700264,700
70,30008.4371167823,23047.56759232358,19404.04774443722,19534.743656363673,18132.1895959257,18710.51353288589,19157.407269974618,4479.562016366574,13031.704095112285,13987.709144589575,13904.260195495055,12571.943385544442,12382.800528401585,13557.806833571824,157.1994715984148,710
71,29946.918459961937,22777.693811038043,19388.871771848437,19436.11416454226,17956.22115284672,18651.25047054395,19064.812056595696,4439.075322707036,12923.47791415297,13899.05891210239,13801.069162388501,12539.1145284678,12296.907605027285,13572.198445091357,156.78524374176547,720
72,29559.911057772653,22316.337006365065,18921.16969878314,18959.686399546747,17695.129086671208,18381.19905134536,18735.470475396764,4366.820357600299,12719.5958010201,13783.297957129074,13627.015973644553,12371.33671034944,12132.4911330212,13288.197350294196,157.34720416124838,730
73,29450.993450993454,22344.684944684945,18809.29745635628,18823.2741736222,17566.086589171584,18009.003005727896,18479.514960177945,4315.30969030969,12568.606038205004,13588.671973188102,13412.70930327534,12107.255063776805,11976.797135966686,13123.51307530541,155.84415584415584,740
74,29648.88045933857,23017.469274174848,19168.75788326397,19227.254610110173,17930.05447993097,18557.852618523822,18894.166106754034,4473.157276247923,12669.946054360606,13592.936670435678,13571.522313014904,12431.387701957861,12185.744848867536,13272.076380175142,159.0013140604468,750
75,29685.39580924902,23019.870307488483,19143.19720246244,19178.679616212074,17867.08391446654,18568.993940605,18920.51151046642,4440.756848364176,12582.545557252906,13508.512239462223,13521.67024233874,12294.824556177766,12148.113467618852,13315.758393929502,158.5845347313237,760
76,29529.795761633904,23009.803921568626,19143.13725490196,18978.2723900371,17832.464896310714,18478.181897759103,18958.26140840083,4433.498700685093,12468.791705163741,13490.952164927668,13435.259237112889,12285.31412565026,12054.83316133471,13236.661538837203,156.86274509803923,770
77,29431.32198289465,23026.185917468683,19081.05243856131,18957.143754490844,17750.273239202194,18345.72574974625,18853.178959388548,4408.412233906276,12483.613998921479,13492.144593839508,13436.593116234799,12195.969782958815,12047.82207583278,13220.528241577995,160.3650586701434,780
78,29559.823489068647,22961.464219674945,19039.413146987095,19014.190221978875,17820.78122379631,18429.206675432153,18884.819041217983,4417.182998036666,12504.98369849938,13441.315728051748,13418.2970800331,12219.382256118277,12087.003373739395,13137.886359727449,161.2483745123537,790
79,29517.593318861516,23041.312026303047,19178.438125590787,18929.53929948858,17657.480765302647,18278.745320495942,18685.568171317685,4398.154358178547,12406.556119487852,13448.281680634456,13370.481362634566,12189.754378628895,11977.63707254407,13160.177890359433,160.41397153945667,800
