,G1,SP2_1,SP2_2,SP2_3,R1,SP1_1,SP1_2,SP1_3,NC,Time
38,24945.90098590154,21473.789569714074,20521.291466442774,20334.697720383007,5386.346456497764,15133.431777112495,12374.397952102128,14098.683609012169,136.17606602475928,390
39,25199.818581492666,21463.239812053853,20656.145127046093,20285.849360605134,5551.367116151269,15005.099809641404,12297.305077746541,14056.364334590142,138.44086021505376,400
40,25303.681729177348,21184.262695064303,20518.079953026372,20083.199498923972,5697.207678883072,14999.17761149064,12378.283567451757,13968.622948901695,136.12565445026178,410
41,25546.782776971453,21405.63149828093,20472.912255939777,20061.615693543405,5819.778905933856,14946.789978469367,12355.73835984601,13838.129154795823,137.17948717948718,420
42,25549.733362002004,21186.619310883136,20406.57176722751,20002.882363538105,6053.845445400059,15028.68193709887,12420.52591609125,13994.796110168829,139.97477931904163,430
43,25977.42738775388,21299.264983750283,20491.489741757683,19930.54283752075,6186.275214658395,15031.96682806967,12491.390885663908,14126.549491819207,137.3762376237624,440
44,26100.105820105826,21366.15186615187,20532.03400373212,19986.77248677249,6339.996080736822,15024.289831206259,12635.070178811768,14295.213261314955,142.85714285714286,450
45,26559.49656750572,21490.498482322262,20661.994478951,20033.495383110134,6407.770708141864,15254.007465963989,12679.887620292418,14303.58096444494,143.71980676328502,460
46,26929.95865179802,21653.948535936113,20830.852961072505,20281.577830331695,6374.70780738663,15470.017098192478,12970.355731225296,14608.389467238212,152.17391304347828,470
47,27159.519259353634,21811.394502062158,20864.246402592304,20361.318684944163,6376.334114148206,15520.65951200093,13128.730773746624,14727.514591071023,149.7005988023952,480
48,27229.730179824604,21932.799441717398,20960.219624570866,20325.72183735718,6401.9024970273485,15679.878631575877,13041.640196095019,14817.71893337846,149.8216409036861,490
49,27467.391660603203,21955.183816638553,21154.135411466472,20284.46211078836,6352.836724230639,15551.315021580334,12994.883947016648,14865.934401938071,156.39810426540285,500
50,27543.208686248327,22035.76084223343,20940.906087506104,20383.34511189635,6279.040649954091,15376.40853969662,12797.543585178792,14762.899567341896,156.65488810365136,510
51,27726.3867546666,21744.79668341447,20785.989451529655,20261.730465298606,6260.59037322094,15312.088377344287,12786.734164070613,14524.555729478385,157.71028037383178,520
52,27803.83708182959,21633.97125776951,20592.681703343533,20006.211507238484,6274.134479149715,15255.125580741176,12672.120168388825,14418.16172601785,154.99425947187143,530
53,28004.466579292264,21585.66731898239,20479.61754187841,19902.012681835135,6253.897853441895,15180.995269631032,12508.768959435627,14369.181272509006,155.42857142857144,540
